ASIGNATURA,TEMA O CONCEPTO,SOLO,BLOOM,TEMA_CLASIFICADO,APRENDIZAJE_ASIGNATURA
INGENIERÍA DE SOFTWARE,Tutoría estudio financiero,Relacional,Comprender,Otros,"Explica fenómenos sociales o naturales a través de conocimientos científicos, tecnológicos y contextuales, en función de la resolución de problemas y la toma decisiones."
ARQUITECTURA DE SOFTWARE,Patrones,Multiestructural,Analizar,Otros,Analiza datos empleando métodos estadísticos y herramientas de visualización de grandes volúmenes de datos y datos geoespaciales para interpretar tendencias y patrones.
INGENIERÍA WEB,Deploy WEB,Multiestructural,Recordar,Otros,Comprender Código y Requerimientos Existentes
ANÁLISIS Y DISEÑO DE ALGORITMOS,Proyecto Algoritmos,Multiestructural,Analizar,Algoritmia,Integra los algoritmos seleccionados con criterios de eficiencia y efectividad para la solución de problemas informáticos complejos.
ANÁLISIS Y DISEÑO DE ALGORITMOS,Dudas taller,Preestructural,Recordar,Otros,Comprender Código y Requerimientos Existentes
INGENIERÍA WEB,Definición proyecto de Curso,Multiestructural,Comprender,Otros,"Explica fenómenos sociales o naturales a través de conocimientos científicos, tecnológicos y contextuales, en función de la resolución de problemas y la toma decisiones."
INGENIERÍA WEB,Desglose de actividades en relación a temporalidad de acuerdo a Sprints con base en la metodología SCRUM. ,Preestructural,NO HAY VERBO,Otros,NO HAY VERBO
INGENIERÍA WEB,Desglose de actividades en relación a temporalidad de acuerdo a Sprints con base en la metodología SCRUM. ,Preestructural,NO HAY VERBO,Otros,NO HAY VERBO
INGENIERÍA WEB,Validación alcance y UML Diseño,Abstracto Extendido,Crear,Investigación,Crear Automatización de Pruebas y Mejora Continua
INGENIERÍA WEB,Revisión proyecto integrador,Relacional,Analizar,Proyecto Integrador,Aplica el proceso de análisis de datos a dataset para extraer patrones y características relevantes que permitan desarrollar soluciones IA a problemas específicos.
INGENIERÍA WEB,Implementación de consulta SQL con tres tablas para solucionar relaciones muchos a muchos,Aplicar,Aplicar,Proyecto Integrador,"Manipula datos empleando herramientas y aplicando técnicas para la extracción, limpieza, transformación y preprocesamiento de datos en diferentes entornos y formatos."
ARQUITECTURA DE SOFTWARE,Aspectos arquitecturales,Abstracto Extendido,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
ARQUITECTURA DE SOFTWARE,Explicación Diagramas UML ,Multiestructural,Analizar,Investigación,"Comprende el contexto histórico y social de la informática, mediante el análisis casuístico, relacionando tendencias tecnológicas actuales y sus implicaciones e impactos en la sociedad. "
ARQUITECTURA DE SOFTWARE,HEROKU,NO HAY VERBO,NO HAY VERBO,NO HAY TEMA,NO HAY VERBO
INGENIERÍA DE SOFTWARE,Tutoría estudio financiero,Relacional,Comprender,Otros,"Explica fenómenos sociales o naturales a través de conocimientos científicos, tecnológicos y contextuales, en función de la resolución de problemas y la toma decisiones."
ARQUITECTURA DE SOFTWARE,HEROKU,NO HAY VERBO,NO HAY VERBO,NO HAY TEMA,NO HAY VERBO
ARQUITECTURA DE SOFTWARE,Patrones,Multiestructural,Analizar,Otros,Analiza datos empleando métodos estadísticos y herramientas de visualización de grandes volúmenes de datos y datos geoespaciales para interpretar tendencias y patrones.
ARQUITECTURA DE SOFTWARE,Configuracion de Tomcat,Uniestructural,Recordar,Programación Python,Recordar Estrategias de Codificación Efectiva y Eficiente
ARQUITECTURA DE SOFTWARE,Patrones,Multiestructural,Analizar,Otros,Analiza datos empleando métodos estadísticos y herramientas de visualización de grandes volúmenes de datos y datos geoespaciales para interpretar tendencias y patrones.
INGENIERÍA DE SOFTWARE,Tutoría estudio financiero,Relacional,Comprender,Otros,"Explica fenómenos sociales o naturales a través de conocimientos científicos, tecnológicos y contextuales, en función de la resolución de problemas y la toma decisiones."
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO,proyecto,Abstracto Extendido,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
ARQUITECTURA DE SOFTWARE,HEROKU,NO HAY VERBO,NO HAY VERBO,NO HAY TEMA,NO HAY VERBO
ARQUITECTURA DE SOFTWARE,Patrones,Multiestructural,Analizar,Otros,Analiza datos empleando métodos estadísticos y herramientas de visualización de grandes volúmenes de datos y datos geoespaciales para interpretar tendencias y patrones.
INGENIERÍA DE SOFTWARE,Tutoría estudio financiero,Relacional,Comprender,Otros,"Explica fenómenos sociales o naturales a través de conocimientos científicos, tecnológicos y contextuales, en función de la resolución de problemas y la toma decisiones."
INGENIERÍA DE SOFTWARE,Tutoría Estudio Financiero,Relacional,Comprender,Otros,"Explica fenómenos sociales o naturales a través de conocimientos científicos, tecnológicos y contextuales, en función de la resolución de problemas y la toma decisiones."
ARQUITECTURA DE SOFTWARE,Aspectos arquitecturales,Abstracto Extendido,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
ARQUITECTURA DE SOFTWARE,Arquitectura de datos,Abstracto Extendido,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
ARQUITECTURA DE SOFTWARE,ETL,NO HAY VERBO,NO HAY VERBO,NO HAY TEMA,NO HAY VERBO
ARQUITECTURA DE SOFTWARE,Arquitecturas de despliegue,Abstracto Extendido,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
